Ring0,Ring1,Ring2,Ring3,Ring4,Ring5,Color,size,color,color1,color2,color3,color4,color5,description,description1,description2,description3,description4,description5,state,state1,state2,state3,state4,state5,level,level1,level2,level3,level4,level5,friendlyname,friendlyname1,friendlyname2,friendlyname3,friendlyname4,friendlyname5,hyperlink,hyperlink1,hyperlink2,hyperlink3,hyperlink4,hyperlink5,metadata,metadata1,metadata2,metadata3,metadata4,metadata5
MS,SuiteAnalytics,Configuring the ODBC Data Source on Linux,Adding an ODBC Data Source,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteAnalytics,Configuring the ODBC Data Source on Linux,Adding an ODBC Data Source,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3949039.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4044005623.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4044005623.html#subsect_162212460230,,,,,,,,
MS,SuiteAnalytics,Determining Your Connect Driver Version,ODBC and ADO.NET Drivers on Windows,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteAnalytics,Determining Your Connect Driver Version,ODBC and ADO.NET Drivers on Windows,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3949039.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4525081472.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4525081472.html#subsect_59160951498,,,,,,,,
MS,SuiteAnalytics,Determining Your Connect Driver Version,JDBC Drivers on Windows,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteAnalytics,Determining Your Connect Driver Version,JDBC Drivers on Windows,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3949039.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4525081472.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4525081472.html#subsect_64160959948,,,,,,,,
MS,SuiteAnalytics,Determining Your Connect Driver Version,ODBC Drivers on Linux,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteAnalytics,Determining Your Connect Driver Version,ODBC Drivers on Linux,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3949039.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4525081472.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4525081472.html#subsect_27161025448,,,,,,,,
MS,SuiteAnalytics,Determining Your Connect Driver Version,JDBC Drivers on Linux,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteAnalytics,Determining Your Connect Driver Version,JDBC Drivers on Linux,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3949039.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4525081472.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4525081472.html#subsect_56161109964,,,,,,,,
MS,SuiteAnalytics,Determining Your Connect Driver Version,OS X,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteAnalytics,Determining Your Connect Driver Version,OS X,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3949039.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4525081472.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4525081472.html#subsect_82161113470,,,,,,,,
MS,SuiteAnalytics,Determining Your Connect Driver Version,Verifying the SHA256 checksum on Windows,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteAnalytics,Determining Your Connect Driver Version,Verifying the SHA256 checksum on Windows,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3949039.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4525081472.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4525081472.html#subsect_59161410624,,,,,,,,
MS,SuiteAnalytics,Determining Your Connect Driver Version,Verifying the SHA256 checksum on Linux or OS X,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteAnalytics,Determining Your Connect Driver Version,Verifying the SHA256 checksum on Linux or OS X,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3949039.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4525081472.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4525081472.html#subsect_91161405573,,,,,,,,
MS,SuiteAnalytics,JDBC Connection Properties,JDBC Connection Properties,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteAnalytics,JDBC Connection Properties,JDBC Connection Properties,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3949039.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4425626714.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_4425626714.html,,,,,,,,
MS,SuiteAnalytics,Downloading and Installing the ODBC Driver for Windows,Downloading and Installing the ODBC Driver for Windows,,,Purple,1,#9949C0,#9F5CC0,#B27CCC,#C59DD9,#D8BDE5,#EBDEF2,,,,,,,Enable,Enable,Enable,Enable,Enable,Enable,0,0,0,0,0,0,Management Services,SuiteAnalytics,Downloading and Installing the ODBC Driver for Windows,Downloading and Installing the ODBC Driver for Windows,,,,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_N3949039.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_3963853203.html,https://docs.oracle.com/en/cloud/saas/netsuite/ns-online-help/section_3963853203.html,,,,,,,,
